f251df7a50a96bd87afee595ad812a3405cb6765	SOMLYJD12A58A7B155	1
f251df7a50a96bd87afee595ad812a3405cb6765	SOSNSKM12A8C1382A1	1
f251df7a50a96bd87afee595ad812a3405cb6765	SOTZOSL12A6D4F7793	5
f251df7a50a96bd87afee595ad812a3405cb6765	SODJGNA12A8C133B80	1
f251df7a50a96bd87afee595ad812a3405cb6765	SOWKYIJ12AB017B0AA	3
f251df7a50a96bd87afee595ad812a3405cb6765	SOSOPTO12A8AE47E4A	1
f251df7a50a96bd87afee595ad812a3405cb6765	SOVXXJJ12AC4686528	19
f251df7a50a96bd87afee595ad812a3405cb6765	SOXATLI12A6D4F9367	2
f251df7a50a96bd87afee595ad812a3405cb6765	SOTEZXJ12A8C1365AA	1
f251df7a50a96bd87afee595ad812a3405cb6765	SORENAS12A81C20780	6
f251df7a50a96bd87afee595ad812a3405cb6765	SOHIFYW12A8C136B6A	1
f251df7a50a96bd87afee595ad812a3405cb6765	SOEXXMC12AB0185DF3	43
f251df7a50a96bd87afee595ad812a3405cb6765	SORXMRX12AC468D5BB	18
f251df7a50a96bd87afee595ad812a3405cb6765	SOOVXIU12AB017A886	1
f251df7a50a96bd87afee595ad812a3405cb6765	SONEPAT12A679CF1E9	1
f251df7a50a96bd87afee595ad812a3405cb6765	SOTTUGB12A6D4FBEE1	20
f251df7a50a96bd87afee595ad812a3405cb6765	SOQSNJS12A6D4FAC8A	3
f251df7a50a96bd87afee595ad812a3405cb6765	SOUMUGH12AB018301E	5
c69de1e8c9f7d093979e4279c3acb4fa5d361579	SOKCTPE12A6D4F8AEF	1
c69de1e8c9f7d093979e4279c3acb4fa5d361579	SOCFYUZ12AF729E4B6	1
c69de1e8c9f7d093979e4279c3acb4fa5d361579	SONYKOW12AB01849C9	1
c69de1e8c9f7d093979e4279c3acb4fa5d361579	SOIUIDA12A8C13339B	2
c69de1e8c9f7d093979e4279c3acb4fa5d361579	SOIHGNU12A58A7AFD7	1
c69de1e8c9f7d093979e4279c3acb4fa5d361579	SORTOKC12A6D4F8AF1	1
c69de1e8c9f7d093979e4279c3acb4fa5d361579	SOKPPQS12AB0189396	1
